h8,h9,h2,h3,h1,h6,h7,h4,h5,s9,s8,s3,s2,s1,s7,s6,s5,s4,s19,s18,s13,s12,s11,s10,s17,s16,s15,s14,h10,h11,h12,h13,h14,h15,h16,s20
0,6,6,6,6,4,2,6,4,4,5,3,5,5,5,5,5,1,3,3,4,2,2,4,3,4,4,4,6,6,6,6,6,6,6,3
6,0,6,6,6,6,6,6,6,4,5,5,5,5,5,3,1,5,3,3,2,4,4,4,3,4,4,2,2,4,4,6,6,6,6,3
6,6,0,4,2,6,6,4,6,2,5,5,3,1,5,5,5,5,3,3,4,4,4,2,3,4,4,4,6,6,6,6,6,6,6,3
6,6,4,0,4,6,6,2,6,2,5,5,1,3,5,5,5,5,3,3,4,4,4,2,3,4,4,4,6,6,6,6,6,6,6,3
6,6,2,4,0,6,6,4,6,2,5,5,3,1,5,5,5,5,3,3,4,4,4,2,3,4,4,4,6,6,6,6,6,6,6,3
4,6,6,6,6,0,4,6,2,4,5,1,5,5,5,5,5,3,3,3,4,2,2,4,3,4,4,4,6,6,6,6,6,6,6,3
2,6,6,6,6,4,0,6,4,4,5,3,5,5,5,5,5,1,3,3,4,2,2,4,3,4,4,4,6,6,6,6,6,6,6,3
6,6,4,2,4,6,6,0,6,2,5,5,1,3,5,5,5,5,3,3,4,4,4,2,3,4,4,4,6,6,6,6,6,6,6,3
4,6,6,6,6,2,4,6,0,4,5,1,5,5,5,5,5,3,3,3,4,2,2,4,3,4,4,4,6,6,6,6,6,6,6,3
4,4,2,2,2,4,4,2,4,0,3,3,1,1,3,3,3,3,3,1,2,4,2,2,1,4,2,4,4,4,4,4,4,4,4,3
5,5,5,5,5,5,5,5,5,3,0,4,4,4,2,4,4,4,2,2,3,3,3,3,2,1,1,3,5,5,5,3,3,1,1,2
3,5,5,5,5,1,3,5,1,3,4,0,4,4,4,4,4,2,2,2,3,1,1,3,2,3,3,3,5,5,5,5,5,5,5,2
5,5,3,1,3,5,5,1,5,1,4,4,0,2,4,4,4,4,2,2,3,3,3,1,2,3,3,3,5,5,5,5,5,5,5,2
5,5,1,3,1,5,5,3,5,1,4,4,2,0,4,4,4,4,2,2,3,3,3,1,2,3,3,3,5,5,5,5,5,5,5,2
5,5,5,5,5,5,5,5,5,3,2,4,4,4,0,4,4,4,2,2,3,3,3,3,2,1,1,3,5,5,5,1,1,3,3,2
5,3,5,5,5,5,5,5,5,3,4,4,4,4,4,0,2,4,2,2,1,3,3,3,2,3,3,1,3,1,1,5,5,5,5,2
5,1,5,5,5,5,5,5,5,3,4,4,4,4,4,2,0,4,2,2,1,3,3,3,2,3,3,1,1,3,3,5,5,5,5,2
1,5,5,5,5,3,1,5,3,3,4,2,4,4,4,4,4,0,2,2,3,1,1,3,2,3,3,3,5,5,5,5,5,5,5,2
3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,4,3,1,3,1,4,1,3,1,3,3,3,3,3,3,3,2
3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,4,0,1,3,1,3,2,3,1,3,3,3,3,3,3,3,3,4
4,2,4,4,4,4,4,4,4,2,3,3,3,3,3,1,1,3,3,1,0,4,2,4,1,4,2,2,2,2,2,4,4,4,4,3
2,4,4,4,4,2,2,4,2,4,3,1,3,3,3,3,3,1,1,3,4,0,2,2,3,2,4,2,4,4,4,4,4,4,4,1
2,4,4,4,4,2,2,4,2,2,3,1,3,3,3,3,3,1,3,1,2,2,0,4,1,4,2,4,4,4,4,4,4,4,4,3
4,4,2,2,2,4,4,2,4,2,3,3,1,1,3,3,3,3,1,3,4,2,4,0,3,2,4,2,4,4,4,4,4,4,4,1
3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,4,2,1,3,1,3,0,3,1,3,3,3,3,3,3,3,3,4
4,4,4,4,4,4,4,4,4,4,1,3,3,3,1,3,3,3,1,3,4,2,4,2,3,0,2,2,4,4,4,2,2,2,2,1
4,4,4,4,4,4,4,4,4,2,1,3,3,3,1,3,3,3,3,1,2,4,2,4,1,2,0,4,4,4,4,2,2,2,2,3
4,2,4,4,4,4,4,4,4,4,3,3,3,3,3,1,1,3,1,3,2,2,4,2,3,2,4,0,2,2,2,4,4,4,4,1
6,2,6,6,6,6,6,6,6,4,5,5,5,5,5,3,1,5,3,3,2,4,4,4,3,4,4,2,0,4,4,6,6,6,6,3
6,4,6,6,6,6,6,6,6,4,5,5,5,5,5,1,3,5,3,3,2,4,4,4,3,4,4,2,4,0,2,6,6,6,6,3
6,4,6,6,6,6,6,6,6,4,5,5,5,5,5,1,3,5,3,3,2,4,4,4,3,4,4,2,4,2,0,6,6,6,6,3
6,6,6,6,6,6,6,6,6,4,3,5,5,5,1,5,5,5,3,3,4,4,4,4,3,2,2,4,6,6,6,0,2,4,4,3
6,6,6,6,6,6,6,6,6,4,3,5,5,5,1,5,5,5,3,3,4,4,4,4,3,2,2,4,6,6,6,2,0,4,4,3
6,6,6,6,6,6,6,6,6,4,1,5,5,5,3,5,5,5,3,3,4,4,4,4,3,2,2,4,6,6,6,4,4,0,2,3
6,6,6,6,6,6,6,6,6,4,1,5,5,5,3,5,5,5,3,3,4,4,4,4,3,2,2,4,6,6,6,4,4,2,0,3
3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,4,3,1,3,1,4,1,3,1,3,3,3,3,3,3,3,0
