h8-eth0 s4
h9-eth0 s5
h2-eth0 s1
h3-eth0 s2
h1-eth0 s1
h6-eth0 s3
h7-eth0 s4
h4-eth0 s2
h5-eth0 s3
s9-eth4 s18,s9-eth1 s1,s9-eth3 s17,s9-eth2 s2
s8-eth4 s16,s8-eth2 h16,s8-eth3 s15,s8-eth1 h15
s3-eth4 s12,s3-eth3 s11,s3-eth2 h6,s3-eth1 h5
s2-eth1 h3,s2-eth2 h4,s2-eth3 s9,s2-eth4 s10
s1-eth4 s10,s1-eth1 h1,s1-eth3 s9,s1-eth2 h2
s7-eth3 s15,s7-eth2 h14,s7-eth1 h13,s7-eth4 s16
s6-eth4 s14,s6-eth1 h11,s6-eth2 h12,s6-eth3 s13
s5-eth1 h9,s5-eth3 s13,s5-eth2 h10,s5-eth4 s14
s4-eth2 h8,s4-eth3 s11,s4-eth1 h7,s4-eth4 s12
s19-eth1 s10,s19-eth3 s14,s19-eth2 s12,s19-eth4 s16
s18-eth2 s11,s18-eth3 s13,s18-eth1 s9,s18-eth4 s15
s13-eth4 s18,s13-eth3 s17,s13-eth2 s6,s13-eth1 s5
s12-eth1 s3,s12-eth2 s4,s12-eth3 s19,s12-eth4 s20
s11-eth1 s3,s11-eth3 s17,s11-eth2 s4,s11-eth4 s18
s10-eth2 s2,s10-eth3 s19,s10-eth1 s1,s10-eth4 s20
s17-eth3 s13,s17-eth2 s11,s17-eth1 s9,s17-eth4 s15
s16-eth4 s20,s16-eth1 s7,s16-eth2 s8,s16-eth3 s19
s15-eth4 s18,s15-eth1 s7,s15-eth3 s17,s15-eth2 s8
s14-eth4 s20,s14-eth2 s6,s14-eth3 s19,s14-eth1 s5
h10-eth0 s5
h11-eth0 s6
h12-eth0 s6
h13-eth0 s7
h14-eth0 s7
h15-eth0 s8
h16-eth0 s8
s20-eth1 s10,s20-eth3 s14,s20-eth2 s12,s20-eth4 s16
